workerid,trial_type,justification,number,item,slide_number,context,response,language,enjoyment,gender,age,comments,assess,selfreport,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.justification,Answer.time_in_minutes
0,one_slider_practice,he purchase a silver and yellow car,NA,NA,NA,NA,0.9,english,2,Male,26,,Yes,reading comprehension ,1,Windows,1080,1920,Chrome,3CZH926SIC91CYX9DLJLI6LT3K74E1,34Z8PDG355E3Y8ARLI7C8DKXS7LE59,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.80,Mon Jul 09 13:44:30 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Aug 08 13:44:30 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3CZH926SIC91CYX9DLJLI6LT3K74E1,3IO1LGZLKAT154PPA8V2CD59KZK68R,0,Approved,Tue Jul 10 06:29:44 PDT 2018,Mon Jul 09 13:44:37 PDT 2018,Mon Jul 09 13:49:44 PDT 2018,Tue Jul 10 06:29:46 PDT 2018,,,,,[],"""fourwith""",undefined,4.9482333333333335
0,one_slider_practice,both dogs jumped,NA,NA,NA,NA,0.9,english,2,Male,26,,Yes,reading comprehension ,1,Windows,1080,1920,Chrome,3CZH926SIC91CYX9DLJLI6LT3K74E1,34Z8PDG355E3Y8ARLI7C8DKXS7LE59,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.80,Mon Jul 09 13:44:30 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Aug 08 13:44:30 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3CZH926SIC91CYX9DLJLI6LT3K74E1,3IO1LGZLKAT154PPA8V2CD59KZK68R,0,Approved,Tue Jul 10 06:29:44 PDT 2018,Mon Jul 09 13:44:37 PDT 2018,Mon Jul 09 13:49:44 PDT 2018,Tue Jul 10 06:29:46 PDT 2018,,,,,[],"""fourwith""",undefined,4.9482333333333335
0,one_slider,they both  failed the jump,two,frog,6,without,0.07,english,2,Male,26,,Yes,reading comprehension ,1,Windows,1080,1920,Chrome,3CZH926SIC91CYX9DLJLI6LT3K74E1,34Z8PDG355E3Y8ARLI7C8DKXS7LE59,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.80,Mon Jul 09 13:44:30 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Aug 08 13:44:30 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3CZH926SIC91CYX9DLJLI6LT3K74E1,3IO1LGZLKAT154PPA8V2CD59KZK68R,0,Approved,Tue Jul 10 06:29:44 PDT 2018,Mon Jul 09 13:44:37 PDT 2018,Mon Jul 09 13:49:44 PDT 2018,Tue Jul 10 06:29:46 PDT 2018,,,,,[],"""fourwith""",undefined,4.9482333333333335
0,one_slider,both failed jump,four,control1,7,with,0.91,english,2,Male,26,,Yes,reading comprehension ,1,Windows,1080,1920,Chrome,3CZH926SIC91CYX9DLJLI6LT3K74E1,34Z8PDG355E3Y8ARLI7C8DKXS7LE59,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.80,Mon Jul 09 13:44:30 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Aug 08 13:44:30 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3CZH926SIC91CYX9DLJLI6LT3K74E1,3IO1LGZLKAT154PPA8V2CD59KZK68R,0,Approved,Tue Jul 10 06:29:44 PDT 2018,Mon Jul 09 13:44:37 PDT 2018,Mon Jul 09 13:49:44 PDT 2018,Tue Jul 10 06:29:46 PDT 2018,,,,,[],"""fourwith""",undefined,4.9482333333333335
0,one_slider,both went to the city,four,butterflies,8,with,0.1,english,2,Male,26,,Yes,reading comprehension ,1,Windows,1080,1920,Chrome,3CZH926SIC91CYX9DLJLI6LT3K74E1,34Z8PDG355E3Y8ARLI7C8DKXS7LE59,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.80,Mon Jul 09 13:44:30 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Aug 08 13:44:30 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3CZH926SIC91CYX9DLJLI6LT3K74E1,3IO1LGZLKAT154PPA8V2CD59KZK68R,0,Approved,Tue Jul 10 06:29:44 PDT 2018,Mon Jul 09 13:44:37 PDT 2018,Mon Jul 09 13:49:44 PDT 2018,Tue Jul 10 06:29:46 PDT 2018,,,,,[],"""fourwith""",undefined,4.9482333333333335
0,one_slider,one of them did,four,control2,9,with,0.81,english,2,Male,26,,Yes,reading comprehension ,1,Windows,1080,1920,Chrome,3CZH926SIC91CYX9DLJLI6LT3K74E1,34Z8PDG355E3Y8ARLI7C8DKXS7LE59,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.80,Mon Jul 09 13:44:30 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Aug 08 13:44:30 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3CZH926SIC91CYX9DLJLI6LT3K74E1,3IO1LGZLKAT154PPA8V2CD59KZK68R,0,Approved,Tue Jul 10 06:29:44 PDT 2018,Mon Jul 09 13:44:37 PDT 2018,Mon Jul 09 13:49:44 PDT 2018,Tue Jul 10 06:29:46 PDT 2018,,,,,[],"""fourwith""",undefined,4.9482333333333335
0,one_slider,it says so in the story,four,lions,10,with,0.09,english,2,Male,26,,Yes,reading comprehension ,1,Windows,1080,1920,Chrome,3CZH926SIC91CYX9DLJLI6LT3K74E1,34Z8PDG355E3Y8ARLI7C8DKXS7LE59,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.80,Mon Jul 09 13:44:30 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Aug 08 13:44:30 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3CZH926SIC91CYX9DLJLI6LT3K74E1,3IO1LGZLKAT154PPA8V2CD59KZK68R,0,Approved,Tue Jul 10 06:29:44 PDT 2018,Mon Jul 09 13:44:37 PDT 2018,Mon Jul 09 13:49:44 PDT 2018,Tue Jul 10 06:29:46 PDT 2018,,,,,[],"""fourwith""",undefined,4.9482333333333335
0,one_slider,2 of them did not jump,four,control3,11,without,0.12,english,2,Male,26,,Yes,reading comprehension ,1,Windows,1080,1920,Chrome,3CZH926SIC91CYX9DLJLI6LT3K74E1,34Z8PDG355E3Y8ARLI7C8DKXS7LE59,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.80,Mon Jul 09 13:44:30 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Aug 08 13:44:30 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3CZH926SIC91CYX9DLJLI6LT3K74E1,3IO1LGZLKAT154PPA8V2CD59KZK68R,0,Approved,Tue Jul 10 06:29:44 PDT 2018,Mon Jul 09 13:44:37 PDT 2018,Mon Jul 09 13:49:44 PDT 2018,Tue Jul 10 06:29:46 PDT 2018,,,,,[],"""fourwith""",undefined,4.9482333333333335
0,one_slider,two were still hungry,four,dinosaurs,12,with,0.91,english,2,Male,26,,Yes,reading comprehension ,1,Windows,1080,1920,Chrome,3CZH926SIC91CYX9DLJLI6LT3K74E1,34Z8PDG355E3Y8ARLI7C8DKXS7LE59,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.80,Mon Jul 09 13:44:30 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Aug 08 13:44:30 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3CZH926SIC91CYX9DLJLI6LT3K74E1,3IO1LGZLKAT154PPA8V2CD59KZK68R,0,Approved,Tue Jul 10 06:29:44 PDT 2018,Mon Jul 09 13:44:37 PDT 2018,Mon Jul 09 13:49:44 PDT 2018,Tue Jul 10 06:29:46 PDT 2018,,,,,[],"""fourwith""",undefined,4.9482333333333335
1,one_slider_practice,It states he bought a silver car and a yellow car.,NA,NA,NA,NA,1,English,1,Male,36,,Yes,I&quotecharm not sure.,1,Windows,1024,1280,Chrome,3CZH926SIC91CYX9DLJLI6LT3K74E1,34Z8PDG355E3Y8ARLI7C8DKXS7LE59,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.80,Mon Jul 09 13:44:30 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Aug 08 13:44:30 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3CZH926SIC91CYX9DLJLI6LT3K74E1,3OONKJ5DKDFAW8T0DG16KFH1D5ZOBX,1,Approved,Tue Jul 10 06:44:30 PDT 2018,Mon Jul 09 13:44:36 PDT 2018,Mon Jul 09 14:04:30 PDT 2018,Tue Jul 10 06:44:46 PDT 2018,,,,,[],"""fourwithout""",undefined,10.902966666666666
1,one_slider_practice,The third dog was too small to jump on the table.,NA,NA,NA,NA,0,English,1,Male,36,,Yes,I&quotecharm not sure.,1,Windows,1024,1280,Chrome,3CZH926SIC91CYX9DLJLI6LT3K74E1,34Z8PDG355E3Y8ARLI7C8DKXS7LE59,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.80,Mon Jul 09 13:44:30 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Aug 08 13:44:30 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3CZH926SIC91CYX9DLJLI6LT3K74E1,3OONKJ5DKDFAW8T0DG16KFH1D5ZOBX,1,Approved,Tue Jul 10 06:44:30 PDT 2018,Mon Jul 09 13:44:36 PDT 2018,Mon Jul 09 14:04:30 PDT 2018,Tue Jul 10 06:44:46 PDT 2018,,,,,[],"""fourwithout""",undefined,10.902966666666666
1,one_slider,2 frogs thought the rock was too big to jump.,four,frog,6,with,1,English,1,Male,36,,Yes,I&quotecharm not sure.,1,Windows,1024,1280,Chrome,3CZH926SIC91CYX9DLJLI6LT3K74E1,34Z8PDG355E3Y8ARLI7C8DKXS7LE59,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.80,Mon Jul 09 13:44:30 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Aug 08 13:44:30 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3CZH926SIC91CYX9DLJLI6LT3K74E1,3OONKJ5DKDFAW8T0DG16KFH1D5ZOBX,1,Approved,Tue Jul 10 06:44:30 PDT 2018,Mon Jul 09 13:44:36 PDT 2018,Mon Jul 09 14:04:30 PDT 2018,Tue Jul 10 06:44:46 PDT 2018,,,,,[],"""fourwithout""",undefined,10.902966666666666
1,one_slider,There aren&quotechart three hippos in the story. ,two,control1,7,with,0,English,1,Male,36,,Yes,I&quotecharm not sure.,1,Windows,1024,1280,Chrome,3CZH926SIC91CYX9DLJLI6LT3K74E1,34Z8PDG355E3Y8ARLI7C8DKXS7LE59,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.80,Mon Jul 09 13:44:30 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Aug 08 13:44:30 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3CZH926SIC91CYX9DLJLI6LT3K74E1,3OONKJ5DKDFAW8T0DG16KFH1D5ZOBX,1,Approved,Tue Jul 10 06:44:30 PDT 2018,Mon Jul 09 13:44:36 PDT 2018,Mon Jul 09 14:04:30 PDT 2018,Tue Jul 10 06:44:46 PDT 2018,,,,,[],"""fourwithout""",undefined,10.902966666666666
1,one_slider,One butterfly chose to go to the city. ,two,butterflies,8,without,0,English,1,Male,36,,Yes,I&quotecharm not sure.,1,Windows,1024,1280,Chrome,3CZH926SIC91CYX9DLJLI6LT3K74E1,34Z8PDG355E3Y8ARLI7C8DKXS7LE59,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.80,Mon Jul 09 13:44:30 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Aug 08 13:44:30 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3CZH926SIC91CYX9DLJLI6LT3K74E1,3OONKJ5DKDFAW8T0DG16KFH1D5ZOBX,1,Approved,Tue Jul 10 06:44:30 PDT 2018,Mon Jul 09 13:44:36 PDT 2018,Mon Jul 09 14:04:30 PDT 2018,Tue Jul 10 06:44:46 PDT 2018,,,,,[],"""fourwithout""",undefined,10.902966666666666
1,one_slider,Only one rolled the ball. One dog was scared the ball might fall off the table. ,four,control2,9,with,1,English,1,Male,36,,Yes,I&quotecharm not sure.,1,Windows,1024,1280,Chrome,3CZH926SIC91CYX9DLJLI6LT3K74E1,34Z8PDG355E3Y8ARLI7C8DKXS7LE59,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.80,Mon Jul 09 13:44:30 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Aug 08 13:44:30 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3CZH926SIC91CYX9DLJLI6LT3K74E1,3OONKJ5DKDFAW8T0DG16KFH1D5ZOBX,1,Approved,Tue Jul 10 06:44:30 PDT 2018,Mon Jul 09 13:44:36 PDT 2018,Mon Jul 09 14:04:30 PDT 2018,Tue Jul 10 06:44:46 PDT 2018,,,,,[],"""fourwithout""",undefined,10.902966666666666
1,one_slider,It says all four bought eggs but only two lions bought cookies. ,four,lions,10,with,1,English,1,Male,36,,Yes,I&quotecharm not sure.,1,Windows,1024,1280,Chrome,3CZH926SIC91CYX9DLJLI6LT3K74E1,34Z8PDG355E3Y8ARLI7C8DKXS7LE59,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.80,Mon Jul 09 13:44:30 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Aug 08 13:44:30 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3CZH926SIC91CYX9DLJLI6LT3K74E1,3OONKJ5DKDFAW8T0DG16KFH1D5ZOBX,1,Approved,Tue Jul 10 06:44:30 PDT 2018,Mon Jul 09 13:44:36 PDT 2018,Mon Jul 09 14:04:30 PDT 2018,Tue Jul 10 06:44:46 PDT 2018,,,,,[],"""fourwithout""",undefined,10.902966666666666
1,one_slider,Two of the lizards thought the book was too high and didn&quotechart climb it. ,four,control3,11,without,0,English,1,Male,36,,Yes,I&quotecharm not sure.,1,Windows,1024,1280,Chrome,3CZH926SIC91CYX9DLJLI6LT3K74E1,34Z8PDG355E3Y8ARLI7C8DKXS7LE59,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.80,Mon Jul 09 13:44:30 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Aug 08 13:44:30 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3CZH926SIC91CYX9DLJLI6LT3K74E1,3OONKJ5DKDFAW8T0DG16KFH1D5ZOBX,1,Approved,Tue Jul 10 06:44:30 PDT 2018,Mon Jul 09 13:44:36 PDT 2018,Mon Jul 09 14:04:30 PDT 2018,Tue Jul 10 06:44:46 PDT 2018,,,,,[],"""fourwithout""",undefined,10.902966666666666
1,one_slider,Two didn&quotechart eat bugs because they don&quotechart like bugs. ,four,dinosaurs,12,without,1,English,1,Male,36,,Yes,I&quotecharm not sure.,1,Windows,1024,1280,Chrome,3CZH926SIC91CYX9DLJLI6LT3K74E1,34Z8PDG355E3Y8ARLI7C8DKXS7LE59,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.80,Mon Jul 09 13:44:30 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Aug 08 13:44:30 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3CZH926SIC91CYX9DLJLI6LT3K74E1,3OONKJ5DKDFAW8T0DG16KFH1D5ZOBX,1,Approved,Tue Jul 10 06:44:30 PDT 2018,Mon Jul 09 13:44:36 PDT 2018,Mon Jul 09 14:04:30 PDT 2018,Tue Jul 10 06:44:46 PDT 2018,,,,,[],"""fourwithout""",undefined,10.902966666666666
2,one_slider_practice,silver car and yellow car,NA,NA,NA,NA,1,English,1,Male,41,Good luck!!,Yes,sentences,2,Windows,1024,1280,Chrome,3CZH926SIC91CYX9DLJLI6LT3K74E1,34Z8PDG355E3Y8ARLI7C8DKXS7LE59,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.80,Mon Jul 09 13:44:30 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Aug 08 13:44:30 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3CZH926SIC91CYX9DLJLI6LT3K74E1,3R5F3LQFV3G6E6WGJUH96XO448LZOE,2,Approved,Tue Jul 10 06:47:41 PDT 2018,Mon Jul 09 13:47:52 PDT 2018,Mon Jul 09 14:07:41 PDT 2018,Tue Jul 10 06:47:46 PDT 2018,,,,,[],"""fourwithout""",undefined,15.270333333333333
2,one_slider_practice,3rd dog was too small to jump onto the table,NA,NA,NA,NA,0,English,1,Male,41,Good luck!!,Yes,sentences,2,Windows,1024,1280,Chrome,3CZH926SIC91CYX9DLJLI6LT3K74E1,34Z8PDG355E3Y8ARLI7C8DKXS7LE59,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.80,Mon Jul 09 13:44:30 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Aug 08 13:44:30 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3CZH926SIC91CYX9DLJLI6LT3K74E1,3R5F3LQFV3G6E6WGJUH96XO448LZOE,2,Approved,Tue Jul 10 06:47:41 PDT 2018,Mon Jul 09 13:47:52 PDT 2018,Mon Jul 09 14:07:41 PDT 2018,Tue Jul 10 06:47:46 PDT 2018,,,,,[],"""fourwithout""",undefined,15.270333333333333
